Incident_No,Force_Type,Incident_Date,Race,Gender,Age,Precinct,Neighborhood,Is911Call
21-268987,Level 1 - Use of Force,2021/11/22 14:48:41+00,3.0,1.0,9.0,3,Ericsson,1.0
21-269140,Level 1 - Use of Force,2021/11/22 17:53:36+00,2.0,1.0,29.0,3,Longfellow,1.0
21-269140,Level 1 - Use of Force,2021/11/22 17:53:36+00,2.0,1.0,29.0,3,Longfellow,1.0
21-269140,Level 1 - Use of Force,2021/11/22 17:53:36+00,2.0,1.0,29.0,3,Longfellow,1.0
21-269140,Level 1 - Use of Force,2021/11/22 17:53:36+00,2.0,1.0,29.0,3,Longfellow,1.0
21-269140,Level 1 - Use of Force,2021/11/22 17:53:36+00,2.0,1.0,29.0,3,Longfellow,1.0
21-269140,Level 1 - Use of Force,2021/11/22 17:53:36+00,2.0,1.0,29.0,3,Longfellow,1.0
21-269155,Level 2 - Use of Force,2021/11/22 18:08:10+00,1.0,1.0,28.0,3,Longfellow,0.0
21-269286,Level 2 - Use of Force,2021/11/22 21:22:16+00,2.0,1.0,17.0,5,Lyndale,1.0
21-269611,Level 2 - Use of Force,2021/11/23 09:17:55+00,2.0,1.0,39.0,5,Linden Hills,1.0
21-270023,Level 2 - Use of Force,2021/11/23 20:09:50+00,2.0,0.0,33.0,1,Elliot Park,1.0
21-270023,Level 2 - Use of Force,2021/11/23 20:09:50+00,1.0,1.0,27.0,1,Elliot Park,1.0
21-270023,Level 2 - Use of Force,2021/11/23 20:09:50+00,1.0,1.0,27.0,1,Elliot Park,1.0
21-270023,Level 2 - Use of Force,2021/11/23 20:09:50+00,1.0,1.0,30.0,1,Elliot Park,1.0
21-270023,Level 2 - Use of Force,2021/11/23 20:09:50+00,1.0,1.0,30.0,1,Elliot Park,1.0
21-270023,Level 2 - Use of Force,2021/11/23 20:09:50+00,2.0,0.0,33.0,1,Elliot Park,1.0
21-270084,Level 1 - Use of Force,2021/11/23 21:37:50+00,1.0,1.0,30.0,1,Downtown West,1.0
21-270300,Level 1 - Use of Force,2021/11/24 07:05:20+00,1.0,1.0,30.0,1,Elliot Park,0.0
21-270300,Level 1 - Use of Force,2021/11/24 07:05:20+00,1.0,1.0,30.0,1,Elliot Park,0.0
21-271054,Level 2 - Use of Force,2021/11/25 02:21:41+00,1.0,1.0,35.0,5,Windom,1.0
21-271399,Level 1 - Use of Force,2021/11/25 19:06:37+00,2.0,0.0,39.0,5,CARAG,1.0
21-271449,Level 1 - Use of Force,2021/11/25 20:50:58+00,1.0,1.0,39.0,4,Near - North,0.0
